closes,dates,volumes
380.6439999999999,2015-11-09 00:00:00.000,420137368.36575645
336.8729999999999,2015-11-10 00:00:00.000,620473336.3692106
305.9829999999999,2015-11-11 00:00:00.000,572707252.5268553
337.955,2015-11-12 00:00:00.000,546923067.4696827
337.372,2015-11-13 00:00:00.000,414918018.06742084
331.501,2015-11-14 00:00:00.000,131135195.6401858
320.484,2015-11-15 00:00:00.000,237800138.65869674
331.353,2015-11-16 00:00:00.000,239442892.6065092
335.111,2015-11-17 00:00:00.000,236625919.2712964
335.447,2015-11-18 00:00:00.000,185981663.2942105
325.5680000000001,2015-11-19 00:00:00.000,206391901.26959464
321.417,2015-11-20 00:00:00.000,123560944.18387257
325.159,2015-11-21 00:00:00.000,199949522.188539
323.395,2015-11-22 00:00:00.000,167053005.3954258
322.8290000000001,2015-11-23 00:00:00.000,188739479.4368917
319.9789999999999,2015-11-24 00:00:00.000,103800161.90899219
328.1689999999999,2015-11-25 00:00:00.000,714595229.5358595
356.245,2015-11-26 00:00:00.000,1237550807.6515267
359.011,2015-11-27 00:00:00.000,895711315.7104639
356.212,2015-11-28 00:00:00.000,667783121.7836893
371.4880000000001,2015-11-29 00:00:00.000,921927632.1582325
378.265,2015-11-30 00:00:00.000,1299027009.4916246
363.4499999999999,2015-12-01 00:00:00.000,523072117.50624603
358.8199999999999,2015-12-02 00:00:00.000,1153668371.9578505
360.954,2015-12-03 00:00:00.000,1149814390.1438584
362.7669999999999,2015-12-04 00:00:00.000,1039912869.9731772
362.7669999999999,2015-12-04 00:00:00.000,1039912869.9731772
390.645,2015-12-05 00:00:00.000,1426331736.1368082
394.0109999999999,2015-12-06 00:00:00.000,1512626609.7304864
394.355,2015-12-07 00:00:00.000,1282263557.3988562
412.9300000000001,2015-12-08 00:00:00.000,954462002.2518704
417.3679999999999,2015-12-09 00:00:00.000,1528970867.732093
416.91,2015-12-10 00:00:00.000,1275837073.4425912
452.4149999999999,2015-12-11 00:00:00.000,1623480958.4502342
434.903,2015-12-12 00:00:00.000,1745413356.7816703
435.8150000000001,2015-12-13 00:00:00.000,1484344615.6204193
443.277,2015-12-14 00:00:00.000,1497157323.9409719
464.9989999999999,2015-12-15 00:00:00.000,1555251795.3592968
453.9139999999999,2015-12-16 00:00:00.000,896686369.8324581
456.473,2015-12-17 00:00:00.000,1302614351.2750235
463.816,2015-12-18 00:00:00.000,1135226734.002981
462.0529999999999,2015-12-19 00:00:00.000,556941126.9945824
441.1289999999999,2015-12-20 00:00:00.000,1175787490.6247997
437.8090000000001,2015-12-21 00:00:00.000,1416880180.0048287
436.2370000000001,2015-12-22 00:00:00.000,1296402582.2604847
442.821,2015-12-23 00:00:00.000,955949147.6136756
454.907,2015-12-24 00:00:00.000,1418671442.057204
455.7419999999999,2015-12-25 00:00:00.000,1058738142.1988857
417.092,2015-12-26 00:00:00.000,1725069505.9869354
423.925,2015-12-27 00:00:00.000,1378749291.4939413
420.708,2015-12-28 00:00:00.000,1310931884.6738522
432.1540000000001,2015-12-29 00:00:00.000,1176234726.8014364
426.811,2015-12-30 00:00:00.000,1227648166.044458
431.139,2015-12-31 00:00:00.000,1310033274.6107447
434.4269999999999,2016-01-01 00:00:00.000,1338781510.5888267
434.3260000000001,2016-01-02 00:00:00.000,769869067.6019802
430.198,2016-01-03 00:00:00.000,984185979.6461835
433.5339999999999,2016-01-04 00:00:00.000,1021957722.8426229
432.115,2016-01-05 00:00:00.000,758209345.881597
431.3430000000001,2016-01-06 00:00:00.000,833341869.2838143
456.434,2016-01-07 00:00:00.000,1637948558.2555692
454.6963000000001,2016-01-08 00:00:00.000,1501742593.9812622
448.7090000000001,2016-01-09 00:00:00.000,1085553694.1445763
447.2069999999999,2016-01-10 00:00:00.000,1361099089.9371536
448.3490000000001,2016-01-11 00:00:00.000,1182725805.933856
445.792,2016-01-12 00:00:00.000,888588584.7561319
432.1200000000001,2016-01-13 00:00:00.000,1584488640.9822845
429.2429999999999,2016-01-14 00:00:00.000,1266295629.45831
365.912,2016-01-15 00:00:00.000,1576734613.7039278
384.813,2016-01-16 00:00:00.000,1710583688.2242782
386.3560000000001,2016-01-17 00:00:00.000,1476285800.5507712
385.1320000000001,2016-01-18 00:00:00.000,1357696058.8206067
379.015,2016-01-19 00:00:00.000,1157108220.8545206
418.848,2016-01-20 00:00:00.000,1674254290.1511552
407.8150000000002,2016-01-21 00:00:00.000,1484721462.288631
377.2100000000001,2016-01-22 00:00:00.000,1626853795.9614305
389.6409999999999,2016-01-23 00:00:00.000,755378842.1307422
403.0559999999999,2016-01-24 00:00:00.000,1458284443.5169122
392.3260000000001,2016-01-25 00:00:00.000,1332190240.7947457
392.4559999999998,2016-01-26 00:00:00.000,1231352757.4795895
